Key_concept,Related_concept,Term,Article_url,Sentence,Author,Label,Annotation,,,Annotation,Annotation
socialism,communism,communism,https://en.wikipedia.org/wiki?curid=37009880,"according to literary critic ion simuț , the clandestine poetry of păstorel , vasile voiculescu and radu gyr is the only explicit negation of communism to have emerged from 1950s romania .",Radu Gyr,C,c,,,,c
google,google,google,https://en.wikipedia.org/wiki?curid=28020883,"in a 2011 interview , google marketing executive wael ghonim blamed the regime for the people 's anger , saying that blocking access to facebook made the people s even angrier and led the people s to protests in the streets .",Wael Ghonim,P,p,,,,p
apartheid,apartheid,anti-apartheid,https://en.wikipedia.org/wiki?curid=22241545,"local mp tony benn contacted then labour opposition leader harold wilson , who spoke out against the colour bar at an anti-apartheid movement rally in london .",Tony Benn,C,p,,,,p
eugenics,eugenics,eugenics,https://en.wikipedia.org/wiki?curid=33175621,"as its president , in 1929 , american eugenicist charles davenport wrote a letter to benito mussolini , then prime minister of italy , warning american eugenicist charles davenport that maximum speed was necessary in implementing a eugenics program in italy , because of the enormous danger of failing to control undesirable reproduction .",Charles Davenport,P,p,,,,p
islam,islam,islam,https://en.wikipedia.org/wiki?curid=154191,"a saviour s   letter must be copied verbatim , and have the identical handwriting of the nation of islam 's founder , louis x. elijah muhammad   .",Elijah Muhammad,P,p,,,,p
nationalism,nationalism,hamas,https://en.wikipedia.org/wiki?curid=38299396,"in june 2002 , barghouti , haidar abdel-shafi , ibrahim dakkak and edward said established the palestinian national initiative ( al-mubadara al-wataniyya al-filistiniyya ) , an attempt to build a reformist , inclusive alternative to both the established palestine liberation organization and to islamic militant groups such as hamas .",Haidar Abdel-Shafi,P,c,,,,c
google,google,google,https://en.wikipedia.org/wiki?curid=4581613,"google developer paul buchheit , who had already explored the idea of web-based email in the 1990s attempted to work around the limitations of html by using the highly interactive javascript code , an approach that ultimately came to be called ajax ( asynchronous javascript and xml ) .",Paul Buchheit,P,p,,,,p
protestantism,protestantism,protestantism,https://en.wikipedia.org/wiki?curid=211143,"lutherans are a major branch of protestantism , identifying with the theology of martin luther , a german friar , ecclesiastical reformer , and theologian .",Martin Luther,P,p,,,,p
socialism,socialism,socialism,https://en.wikipedia.org/wiki?curid=50538,"additionally , prisoner debs was visited in jail by milwaukee socialist newspaper editor victor l. berger , who in prisoner debs  words came to woodstock , as if a providential instrument , and delivered the first impassioned message of socialism prisoner debs had ever heard .",Victor L. Berger,P,p,,,,p
socialism,marxism,marxism,https://en.wikipedia.org/wiki?curid=46399294,"more importantly , bakunin s criticized authoritarian socialism which karl marx associated with marxism and the concept of dictatorship of the proletariat which karl marx adamantly refused .",Karl Marx,P,others,,,,others
judaism,judaism,judaism,https://en.wikipedia.org/wiki?curid=8938053,symacho was converted to judaism by ananias of adiabene .,Ananias of Adiabene,P,p,,,,p
evangelicalism,evangelicalism,evangelicals,https://en.wikipedia.org/wiki?curid=3669622,"dawkins visits the united states to interview pastor ted haggard , president of the national association of evangelicals , and to jerusalem to interview yousef al-khattab ( joseph cohen ) , an american born jew who settled in israel before converting to islam .",Ted Haggard,P,p,,,,p
islam,islam,islam,https://en.wikipedia.org/wiki?curid=78747,"islam has credited his then 21-year-old son muhammad islam , also a musician and artist , for his return to secular music , when his then 21-year-old son  brought a guitar back into the house , which islam began playing .",Muhammad,P,others,,,,others
buddhism,buddhism,buddhism,https://en.wikipedia.org/wiki?curid=5794410,"after rev. mahinda thero introduced buddhism during the reign of king devanampiya tissa of anuradhapura ( 307267 bce ) , in the sri lanka ’s ancient sacred capital of anuradhapura , the king built the anuradhapura maha viharaya , a mahavihara , after dedicating the nandana and mahamega royal pleasure gardens to the maha sangha .",Devanampiya Tissa of Anuradhapura,P,others,,,,others
islam,islam,islam,https://en.wikipedia.org/wiki?curid=30726445,"examples include npr speaking of faith host krista tippett , cbs mideast analyst and bestselling author reza aslan , new testament scholar dr. amy-jill levine , first amendment scholar dr. charles c. haynes , and islam expert dr. john esposito .",Reza Aslan,P,others,,,,others
psychiatry,psychiatry,psychiatry,https://en.wikipedia.org/wiki?curid=23625500,thomas szasz discards even more what thomas szasz calls the quackery of ‘ antipsychiatry ’ than the quackery of psychiatry .,Thomas Szasz,P,others,,,,others
socialism,communism,communism,https://en.wikipedia.org/wiki?curid=1904053,"in 1847 , karl marx began writing the communist manifesto ( 1848 ) , based on engels ' the principles of communism .",Karl Marx,P,others,,,,others
atheism,atheism,atheists,https://en.wikipedia.org/wiki?curid=44521260,"the reviewer for bookmarks notes that critics have considered de august de comte s to be closer to c.s. lewis and augustine in august de comte s views , rather than the atheists richard dawkins and sam harris , and that august de comte s  seems to delight in being subversive in religion for atheists , giving the book three stars out of five .",Richard Dawkins,P,others,,,,others
islam,islam,islam,https://en.wikipedia.org/wiki?curid=12289781,"wallace fard muhammad , credited for being the founder of the nation of islam , may have been from afghanistan .",Wallace Fard Muhammad,P,p,,,,p
buddhism,buddhism,monks,https://en.wikipedia.org/wiki?curid=2617257,"under the rule of bodawpaya , a son of alaungpaya , a unified sect of monks ( thudhamma ) was created within the kingdom .",Alaungpaya,P,p,,,,p
pornography,pornography,pornography,https://en.wikipedia.org/wiki?curid=333380,"jesuit priest father morton a. hill ( 1917-1985 ) was one of the founders of morality in media , which was created in 1962 to fight pornography .",Morton A. Hill,C,c,,,,c
prostitution,prostitution,anti-prostitution,https://en.wikipedia.org/wiki?curid=11934246,"weitzer s has been particularly critical of the claims of anti-prostitution writers such as janice raymond , donna m. hughes , and melissa farley for such reasons .",Janice Raymond,C,p,,,,p
judaism,judaism,jews,https://en.wikipedia.org/wiki?curid=40382419,"rabbi arthur waskow also argued that the ajc has done far more to undermine israel and its jewishness than the questions raised by these intellectuals , by the ajc 's support for some specific policy decisions by the u.s. and israeli governments : especially the iraq war , which has increased dangers to israel , and the settlement of hundreds of thousands of israeli jews into palestinian areas .",Arthur Waskow,P,others,,,,others
