,expert,topic,stance,confidence,source,annotation,
5910,Immanuel Kant,universalism,P,0.999036008,prediction,p,
22223,Vitali Holostenco,marxism,P,0.999750148,prediction,p,
51320,Jim Eadie,lgbt,P,0.999739627,prediction,p,
983,The Mother,orthodoxy,P,0.999737317,prediction,none,
27426,Tom Eyen,ron paul,P,0.999733478,prediction,none,
15483,John Saville,social democracy,P,0.999741541,prediction,p,
21214,Guanyin,traditional medicine,P,0.999707986,prediction,p,
26586,Pyotr Kireevsky,orthodoxy,C,0.413830549,prediction,p,
1395,Nelson Mandel,aids denialism,P,0.999718634,prediction,p,
55457,Nathalie Sarraute,censorship,C,0.999906544,prediction,c,
47484,Sharad Pawar,european union,P,0.999736521,prediction,none,
5244,Karl Marx,evolution,P,0.982943205,prediction,p,
1481,Sheldon Richman,socialism,P,0.999596726,prediction,c,
56852,Peter Debye,nazism,P,0.995831855,prediction,c,
53719,Ted Lieu,marijuana,P,0.999752501,prediction,p,
45831,Julian Fantino,evolution,P,0.999737706,prediction,none,
32802,Peter Bergen,islam,P,0.998779693,prediction,c,
49715,Thet Win Aung,buddhism,P,0.999729679,prediction,p,
3315,Mikhail Gorbachev,freedom of speech,P,0.999745265,prediction,p,
20974,William Penn,lutheranism,P,0.999739873,prediction,none,
3691,David Sarnoff,evolution,P,0.999740113,prediction,none,
52888,Youssef Seddik,social media,P,0.999695762,prediction,none,
45031,Kellie Leitch,immigration,C,0.999907811,prediction,c,
26033,Maxine Hong Kingston,mindfulness,P,0.999737338,prediction,p,
46416,Linda Villarosa,transgender,P,0.999718235,prediction,p,
56553,Carol Browner,transgender,P,0.999730164,prediction,none,
20893,Shirley Manson,social media,P,0.999740104,prediction,c,
16645,P.K. Mookiah Thevar,soviet union,P,0.999743256,prediction,none,
28189,Walter Ralston Martin,theology,P,0.997160658,prediction,p,
47698,Kate O'Brian,al jazeera,P,0.999747191,prediction,p,
13748,Nadine Gordimer,communism,P,0.255966127,prediction,p,
5324,Leon Trotsky,imprisonment,C,0.999895079,prediction,none,
6291,Boris Johnson,tory,C,0.857490793,prediction,p,
23030,Moinuddin Chishti,hinduism,P,0.99974133,prediction,c,
44565,Tony Horwitz,judaism,P,0.999764195,prediction,c,
53901,Charles Michel,antisemitism,C,0.999708938,prediction,c,
41477,Edwina Currie,tory,P,0.999712258,prediction,p,
19932,Shinran,reincarnation,P,0.999734934,prediction,p,
50110,Howard Vincent,immigration,C,0.999882034,prediction,c,
33867,Ken Wilber,evolution,P,0.99974745,prediction,c,
4289,Saddam Hussein,transgender,P,0.999738233,prediction,c,
15510,Joop den Uyl,cold war,P,0.999748434,prediction,c,
2380,Rosa Parks,racism,C,0.99987654,prediction,c,
15753,Patrice Lumumba,smoking,C,0.322624624,prediction,none,
27062,Lawrence Wollersheim,psychiatry,C,0.998920315,prediction,none,
22902,Natalie Bennett,social media,P,0.999731847,prediction,p,
23617,Kellyanne Conway,prohibition,P,0.999540398,prediction,none,
2657,Malcolm X,marijuana,P,0.999751317,prediction,p,
2777,Joseph Rotblat,cold war,P,0.999695984,prediction,none,
3449,Noam Chomsky,marijuana,C,0.33848086,prediction,p,
2476,Verena Stefan,abortion,C,0.999853373,prediction,p,
44033,Guy Pearse,coal,P,0.99976753,prediction,c,
30421,Robert Runcie,apartheid,C,0.999901736,prediction,c,
17491,Lothrop Stoddard,immigration,C,0.999898867,prediction,c,
56373,Michael Sak,youtube,P,0.999719617,prediction,p,
11254,Meles Zenawi,islam,P,0.999734532,prediction,c,
12176,Ernest Hemingway,capitalism,C,0.999900581,prediction,c,
24443,Ali Abdel Raziq,secularism,P,0.999734678,prediction,p,
57395,Olivier Barlet,homosexuality,P,0.99975302,prediction,p,
58240,Steve Vick,hinduism,P,0.999676034,prediction,c,
24062,Arthur V. Dias,independence,P,0.999742502,prediction,p,
41151,Jim Sensenbrenner,copyright,P,0.999700135,prediction,p,
27353,Peter Lamborn Wilson,religion,C,0.99986535,prediction,p,
32971,Mel Carnahan,life imprisonment,P,0.999533281,prediction,p,
38636,Abbé Larudan,freemasonry,P,0.99971416,prediction,c,
4538,Richard Cobden,liberalism,C,0.945423233,prediction,p,
17875,Claudia Koonz,eugenics,P,0.999739227,prediction,p,
16901,Taksin,immigration,C,0.999901135,prediction,none,
29719,Donald Trump,globalization,C,0.999917658,prediction,c,
55751,Innocent IV,buddhism,P,0.999633928,prediction,none,
26558,Sophie Scholl,socialism,P,0.999762565,prediction,c,
16483,Manilal Doctor,fascism,C,0.999897998,prediction,none,
17622,Erich Maria Remarque,fascism,C,0.999601504,prediction,c,
2782,Antonio Gramsci,religion,C,0.99990701,prediction,c,
10193,Lyndon B. Johnson,fascism,C,0.999875256,prediction,c,
4462,Yusuf al-Qaradawi,nationalism,P,0.999737739,prediction,none,
1920,Hyde,mining,P,0.999724491,prediction,p,
2579,Douglas Wilson,homosexuality,P,0.999749476,prediction,p,
16960,Emanuel Rackman,orthodoxy,P,0.999739385,prediction,p,
19955,Skitch Henderson,evolution,P,0.999762284,prediction,none,
36894,Ian Kershaw,evolution,P,0.99972724,prediction,none,
3671,Winston Churchill,marxism,P,0.994701942,prediction,c,
2894,Constantin Dobrogeanu-Gherea,liberalism,C,0.999909928,prediction,c,
5395,Mark Rothko,buddhism,P,0.999714197,prediction,p,
23116,Armistead Maupin,transgender,P,0.999747015,prediction,p,
2234,Salman Rushdie,religion,C,0.999906955,prediction,c,
5986,Pim Fortuyn,religion,P,0.990563088,prediction,c,
11567,Titus Burckhardt,hinduism,P,0.999723963,prediction,p,
29636,Rudolf Steiner,nazism,C,0.999879231,prediction,p,?
41921,E. P. Sanders,judaism,P,0.999728752,prediction,p,
28875,Moshe Shmuel Glasner,zionism,P,0.999767819,prediction,p,
6833,John Hagee,judaism,P,0.99973257,prediction,c,
2319,Robert Coles,christianity,C,0.999890043,prediction,c,
25113,Tadao Yanaihara,judaism,P,0.999700133,prediction,p,
59960,Pablo de Olavide,pantheism,P,0.935441092,prediction,none,
29361,Mahavira,theology,P,0.999704526,prediction,p,
46152,Richard Bruce Nugent,lgbt,P,0.999742996,prediction,p,
491,Carl Sagan,atheism,P,0.999689933,prediction,c,
48894,Marcus Fox,tory,P,0.99941295,prediction,p,
14392,Jerry Falwell,homosexuality,P,0.999720808,prediction,p,
