,topic,stance,confidence,source,expert,annotation,
1,agnosticism,c,0.42991105,"{'source': 'ibm', 'related_topic': 'socialism', 'stance': 'p', 'correlation': 'contrast'}",david mundell,none,
3,anarchism,p,0.737862505,"{'source': 'ibm', 'related_topic': 'pacifism', 'stance': 'p', 'correlation': 'consistent'}",abraham cronbach,none,
34,judaism,p,0.968478158,"{'source': 'prediction', 'related_topic': 'evolution', 'stance': 'p', 'correlation': 'consistent'}",glen keane,none,
10,capitalism,c,0.616936772,"{'source': 'ibm', 'related_topic': 'lgbt', 'stance': 'p', 'correlation': 'contrast'}",shura (russian singer),none,
3,anarchism,p,0.683940933,"{'source': 'prediction', 'related_topic': 'judaism', 'stance': 'p', 'correlation': 'consistent'}",deborah scroggins,none,
10,nazism,c,0.760946028,"{'source': 'ibm', 'related_topic': 'nationalism', 'stance': 'p', 'correlation': 'contrast'}",kim yong-nam,p,
12,cold war,p,0.882566214,"{'source': 'ibm', 'related_topic': 'nationalism', 'stance': 'p', 'correlation': 'consistent'}",nikolaos a. papageorgiou,none,did not exist
38,sharia,p,0.920714434,"{'source': 'ibm', 'related_topic': 'islam', 'stance': 'p', 'correlation': 'consistent'}",fahri hamzah,p,
1,agnosticism,c,0.424597049,"{'source': 'ibm', 'related_topic': 'lgbt', 'stance': 'p', 'correlation': 'contrast'}",charles cohen,none,
32,sharia,p,0.453178966,"{'source': 'prediction', 'related_topic': 'twitter', 'stance': 'p', 'correlation': 'consistent'}",susanna reid,none,
10,censorship,c,0.682833528,"{'source': 'ibm', 'related_topic': 'socialism', 'stance': 'p', 'correlation': 'contrast'}",john nyathi pokela,none,
41,pacifism,p,0.931519227,"{'source': 'ibm', 'related_topic': 'socialism', 'stance': 'p', 'correlation': 'consistent'}",mary telma guajardo,none,
40,maoism,p,0.428676336,"{'source': 'ibm', 'related_topic': 'socialism', 'stance': 'p', 'correlation': 'consistent'}",bennet burleigh,none,
4,apartheid,c,0.783621663,"{'source': 'ibm', 'related_topic': 'socialism', 'stance': 'p', 'correlation': 'contrast'}",vsevolod lebedintsev,none,
14,conscription,c,0.39009562,"{'source': 'ibm', 'related_topic': 'nationalism', 'stance': 'p', 'correlation': 'contrast'}",jessica eriyo,none,
17,nazism,c,0.69785369,"{'source': 'prediction', 'related_topic': 'marxism', 'stance': 'p', 'correlation': 'contrast'}",mario tronti,none,
0,judaism,p,0.448749168,"{'source': 'ibm', 'related_topic': 'conservatism', 'stance': 'p', 'correlation': 'consistent'}",caleb nelson,p,
53,separatism,p,0.414415749,"{'source': 'prediction', 'related_topic': 'judaism', 'stance': 'p', 'correlation': 'consistent'}",rodolfo irazusta,c,
34,transgender,p,0.670274688,"{'source': 'ibm', 'related_topic': 'feminism', 'stance': 'p', 'correlation': 'consistent'}",geetanjali misra,p,
11,capitalism,c,0.684639594,"{'source': 'ibm', 'related_topic': 'judaism', 'stance': 'p', 'correlation': 'contrast'}",doris bensimon,none,
46,socialism,p,0.964796481,"{'source': 'ibm', 'related_topic': 'lgbt', 'stance': 'p', 'correlation': 'consistent'}",kelly smith,none,
